tr_id,half_life,r_squared,Actual_D,D
FBtr0077016,1.251672905,0.860993437,0.553776612,2.78E-01
FBtr0076362,1.253901549,0.753855273,0.552792347,2.77E-01
FBtr0080292,1.255707742,0.922745913,0.551997218,2.76E-01
FBtr0071245,1.255762796,0.956252102,0.551973018,2.76E-01
FBtr0331208,1.256240433,0.563427335,0.551763152,2.76E-01
FBtr0087989,1.256512915,0.913930692,0.551643499,2.76E-01
FBtr0085996,1.259701636,0.867516033,0.550247107,2.75E-01
FBtr0072795,1.26346145,0.920175479,0.548609679,2.73E-01
FBtr0345195,1.267607971,0.676904236,0.546815101,2.72E-01
FBtr0087525,1.268680604,0.776406955,0.546352784,2.71E-01
FBtr0085251,1.269650612,0.508685842,0.545935373,2.71E-01
FBtr0073990,1.274547411,0.65264464,0.543837894,2.69E-01
FBtr0078074,1.277196706,0.886147721,0.542709809,2.68E-01
FBtr0076838,1.277613672,0.826774524,0.542532689,2.68E-01
FBtr0333962,1.277786191,0.478515591,0.542459439,2.68E-01
FBtr0077867,1.27868053,0.961282527,0.54208003,2.67E-01
FBtr0083665,1.279474892,0.68050032,0.54174348,2.67E-01
FBtr0085266,1.282301683,0.898882138,0.540549225,2.66E-01
FBtr0475270,1.284251235,0.464676884,0.539728646,2.65E-01
FBtr0088284,1.285499492,0.801414742,0.539204554,2.65E-01
FBtr0084476,1.289525385,0.58471177,0.53752116,2.63E-01
FBtr0071628,1.290099931,0.74383163,0.537281775,2.63E-01
FBtr0087539,1.291673781,0.916330074,0.536627119,2.63E-01
FBtr0072129,1.294985545,0.623023274,0.535254763,2.61E-01
FBtr0087859,1.297051163,0.766050125,0.534402343,2.61E-01
FBtr0299943,1.302855854,0.590761073,0.532021388,2.59E-01
FBtr0332528,1.304140125,0.643093815,0.531497473,2.58E-01
FBtr0071415,1.306177673,0.56899337,0.530668373,2.57E-01
FBtr0074711,1.308685863,0.730875463,0.529651309,2.57E-01
FBtr0082607,1.3087265,0.972641077,0.529634863,2.57E-01
FBtr0343277,1.309825465,0.409648076,0.529190491,2.56E-01
FBtr0100360,1.312795856,0.83718171,0.52799312,2.55E-01
FBtr0085997,1.312806166,0.392400506,0.527988974,2.55E-01
FBtr0070225,1.313090299,0.663225958,0.527874725,2.55E-01
FBtr0088919,1.314568077,0.516473989,0.527281312,2.55E-01
FBtr0300370,1.314640239,0.977169258,0.527252369,2.55E-01
FBtr0086639,1.314741995,0.983954639,0.527211562,2.54E-01
FBtr0304705,1.317218575,0.828749046,0.52622032,2.54E-01
FBtr0332122,1.319108335,0.536633867,0.525466455,2.53E-01
FBtr0346170,1.320180025,0.5477056,0.525039894,2.53E-01
FBtr0070749,1.322617165,0.967483642,0.524072422,2.52E-01
FBtr0333316,1.325875496,0.319472852,0.522784517,2.51E-01
FBtr0075076,1.326253486,0.979146601,0.52263552,2.51E-01
FBtr0336765,1.328610612,0.89509547,0.521708298,2.50E-01
FBtr0070092,1.330381083,0.93603663,0.521014008,2.49E-01
FBtr0081858,1.330726335,0.968393754,0.520878833,2.49E-01
FBtr0070297,1.331573282,0.500123652,0.520547528,2.49E-01
FBtr0084755,1.331739838,0.577696213,0.520482425,2.49E-01
FBtr0071157,1.332808927,0.901473411,0.520064929,2.48E-01
FBtr0080398,1.333682155,0.905515451,0.519724417,2.48E-01
FBtr0305076,1.333755909,0.519641618,0.519695677,2.48E-01
FBtr0074352,1.335795846,0.501444287,0.518902033,2.47E-01
FBtr0340295,1.336298234,0.487466448,0.51870695,2.47E-01
FBtr0081909,1.336441409,0.43565124,0.51865138,2.47E-01
FBtr0303846,1.337177204,0.937454472,0.518365986,2.47E-01
FBtr0073897,1.337330231,0.873287643,0.518306671,2.47E-01
FBtr0071155,1.337604107,0.933781249,0.518200548,2.47E-01
FBtr0331197,1.33825597,0.779885115,0.517948133,2.46E-01
FBtr0081499,1.338464322,0.911223719,0.517867506,2.46E-01
FBtr0340297,1.342085417,0.678925448,0.516470242,2.45E-01
FBtr0330185,1.342487604,0.723018041,0.516315516,2.45E-01
FBtr0077575,1.342792813,0.335837134,0.516198161,2.45E-01
FBtr0083821,1.344896825,0.858861291,0.515390599,2.44E-01
FBtr0088955,1.345040615,0.772131012,0.515335502,2.44E-01
FBtr0305337,1.345651061,0.941995501,0.515101723,2.44E-01
FBtr0079721,1.346297723,0.492604839,0.514854306,2.44E-01
FBtr0346507,1.346834855,0.933091272,0.514648977,2.44E-01
FBtr0307519,1.346834855,0.933091272,0.514648977,2.44E-01
FBtr0076413,1.347038175,0.657093933,0.514571297,2.44E-01
FBtr0078556,1.349124934,0.956983898,0.513775384,2.43E-01
FBtr0078683,1.350110009,0.906327256,0.51340052,2.43E-01
FBtr0113217,1.351233493,0.783719583,0.512973653,2.42E-01
FBtr0331205,1.3542428,0.788082184,0.511833757,2.41E-01
FBtr0331591,1.354316046,0.394235946,0.511806075,2.41E-01
FBtr0088950,1.354788182,0.930064974,0.511627714,2.41E-01
FBtr0113354,1.35655506,0.913002729,0.510961332,2.40E-01
FBtr0076205,1.357559035,0.973300432,0.510583454,2.40E-01
FBtr0304024,1.357852599,0.419844543,0.510473067,2.40E-01
FBtr0074356,1.359878934,0.912083017,0.509712419,2.39E-01
FBtr0075646,1.364212701,0.763138926,0.508093188,2.38E-01
FBtr0075136,1.365562603,0.654698723,0.507590922,2.38E-01
FBtr0345950,1.366965702,0.591713867,0.507069914,2.37E-01
FBtr0081209,1.370484322,0.654293448,0.505768048,2.36E-01
FBtr0087805,1.374057312,0.712917827,0.504452889,2.35E-01
FBtr0332748,1.377021363,0.560088285,0.503367049,2.34E-01
