,RPFs.DC1_t_bw_star_s.bam,RPFs.DC2_t_bw_star_s.bam,RPFs.DC3_t_bw_star_s.bam,RPFsRawCounts.DC1_t_bw_star_s.bam,RPFsRawCounts.DC2_t_bw_star_s.bam,RPFsRawCounts.DC3_t_bw_star_s.bam,mRNA.DC4_t_star_s.bam,mRNA.DC5_t_star_s.bam,mRNA.DC6_t_star_s.bam,mRNARawCounts.DC4_t_star_s.bam,mRNARawCounts.DC5_t_star_s.bam,mRNARawCounts.DC6_t_star_s.bam,TE.DC1_t_bw_star_s.bam,TE.DC2_t_bw_star_s.bam,TE.DC3_t_bw_star_s.bam
FBgn0029768,0,0,2.178805053,0,0,1,0,1.775162366,0,0,4,0,1,0.360339277,3.178805053
FBgn0029835,0,0,1.740990327,0,0,1,0,1.063842485,0,0,3,0,1,0.484533101,2.740990327
FBgn0029843,0,0,1.695585823,0,0,1,1.589196481,2.072195585,4.509104786,5,6,13,0.386220207,0.32550011,0.489296524
FBgn0029860,0,0,98.03308622,0,0,10,88.20673083,101.8362898,104.2805271,48,51,52,0.011209916,0.009724194,0.940659103
FBgn0029894,0,0,3.007750869,0,0,1,16.3503733,14.09059765,8.613845851,29,23,14,0.057635648,0.066266428,0.416872803
FBgn0029930,0,0,6.427001065,0,0,2,12.04747922,1.309085731,10.51781573,20,2,16,0.076643157,0.433071837,0.644827217
FBgn0030010,0,0,4.426439459,0,0,1,14.10559025,36.96562918,19.01520546,17,41,21,0.066200657,0.026339614,0.271115851
FBgn0030041,0,0,5.176396718,0,0,1,3.881283432,3.163067974,5.294497609,4,3,5,0.204864154,0.240207464,0.98123744
FBgn0030107,0,0,6.491168408,0,0,1,4.867104623,9.255089734,2.655706468,4,7,2,0.170441822,0.097512555,2.049171199
FBgn0030137,0,0,9.850839815,0,0,1,14.77239997,34.11001383,22.16629666,8,17,11,0.063401892,0.028481903,0.468389056
FBgn0030234,0,0,5.707122786,0,0,1,3.209418007,15.11194227,3.502399401,3,13,3,0.237562532,0.062065764,1.489677434
