,RPFs.DC1_t_bw_star_s.bam,RPFs.DC2_t_bw_star_s.bam,RPFs.DC3_t_bw_star_s.bam,RPFsRawCounts.DC1_t_bw_star_s.bam,RPFsRawCounts.DC2_t_bw_star_s.bam,RPFsRawCounts.DC3_t_bw_star_s.bam,mRNA.DC4_t_star_s.bam,mRNA.DC5_t_star_s.bam,mRNA.DC6_t_star_s.bam,mRNARawCounts.DC4_t_star_s.bam,mRNARawCounts.DC5_t_star_s.bam,mRNARawCounts.DC6_t_star_s.bam,TE.DC1_t_bw_star_s.bam,TE.DC2_t_bw_star_s.bam,TE.DC3_t_bw_star_s.bam
FBgn0030576,36.77757849,4.100734956,12.0176604,6,1,4,0.563180683,10.40323897,4.302146301,1,17,7,24.16712214,0.447305802,2.455168089
FBgn0030581,22.39405497,2.996350096,6.585853199,5,1,3,23.45597342,16.54444612,17.06481509,57,37,38,0.956578361,0.227784341,0.41992421
FBgn0030582,9.659515468,87.24065759,71.01901702,2,27,30,143.7759435,187.5697159,178.6927643,324,389,369,0.073627671,0.467947131,0.400789744
FBgn0030583,82.08197178,91.52217868,0,3,5,0,52.79121896,62.82639415,104.2474348,21,23,38,1.544526661,1.449591191,0.009501419
FBgn0030584,670.1722666,647.6153206,620.4701874,27,39,51,294.1902446,218.0685985,233.9407057,129,88,94,2.273693928,2.960786371,2.645221421
FBgn0030593,37.32678591,49.94366527,91.47842016,5,10,25,23.32090383,45.46405822,28.44391962,34,61,38,1.575878355,1.096410155,3.140832517
FBgn0030594,16.69183722,7.444622856,32.72594435,3,2,12,6.134511733,19.99738276,20.08355737,12,36,36,2.479754449,0.402175021,1.599632536
FBgn0030600,7.926644341,3.9772277,3.399581686,8,6,7,23.57843734,42.23913668,27.81715249,259,427,280,0.363190068,0.115109322,0.152672326
FBgn0030603,428.6938304,397.1057777,268.3119556,65,90,83,602.9382372,578.1175656,540.2704167,995,878,817,0.71148638,0.687435162,0.497555283
FBgn0030605,396.5235377,265.276508,403.1078826,27,27,56,435.8365016,293.2398417,293.030981,323,200,199,0.910005314,0.904964149,1.374371779
FBgn0030607,277.0874972,125.5753365,197.1495569,31,21,45,257.8699604,202.5670791,194.4778858,314,227,217,1.074236257,0.621786868,1.013667383
FBgn0030608,61.30262965,57.89902422,70.69980728,17,24,40,302.8253643,167.0459445,165.9579735,914,464,459,0.20506066,0.350493577,0.429448236
FBgn0030611,358.0519234,257.9648385,539.9962025,13,14,40,154.3648315,98.99036651,115.986436,61,36,42,2.311024444,2.589897883,4.624435285
FBgn0030612,17.71427169,65.18021828,52.09578748,2,11,12,72.42678071,54.82425866,65.71738592,89,62,74,0.254869838,1.185510025,0.795831353
FBgn0030613,1.901658252,2.54444043,9.320957503,1,2,10,6.464725157,7.594168628,8.008238842,37,40,42,0.38871602,0.412423887,1.145724229
FBgn0030615,7.246747509,0,14.20794204,1,0,4,0,1.446974569,0,0,2,0,8.246747509,0.408667917,15.20794204
FBgn0030616,1228.189504,1514.946285,1360.761264,96,177,217,10154.84951,9745.552359,9311.640476,8639,7630,7259,0.121032662,0.155536669,0.146227192
FBgn0030617,6.178706279,4.133589736,7.571215621,2,2,5,1.135385688,12.02873437,3.407340179,4,39,11,3.361784393,0.3940206,1.944759259
FBgn0030625,207.3649814,234.1040992,171.5170325,48,81,81,180.998465,194.9487196,190.590878,456,452,440,1.144872191,1.199824626,0.900444918
FBgn0030628,64.46005387,52.70728666,52.65837698,9,11,15,131.6115548,139.4345947,135.7266761,200,195,189,0.49362255,0.382436299,0.392449948
FBgn0030629,197.8835476,243.8675138,285.8723615,19,35,56,192.3392922,231.8722212,166.0383716,201,223,159,1.028676299,1.051510191,1.717403963
FBgn0030630,1026.024647,1146.315288,1513.743686,100,167,301,367.653132,416.9077568,365.2089409,390,407,355,2.785883417,2.74537926,4.136282644
FBgn0030631,1630.36306,1560.411164,755.149947,418,598,395,361.9472558,357.0796936,355.0987538,1010,917,908,4.494766207,4.360513014,2.12342767
FBgn0030640,10.51732211,31.6626681,15.46516241,2,9,6,0,0,0,0,0,0,11.51732211,32.6626681,16.46516241
FBgn0030641,32.96333658,55.13165038,37.69953607,6,15,14,4.54295352,0,0.550852303,9,0,1,6.127299545,56.13165038,24.95372126
FBgn0030648,320.676619,344.6619624,347.8558289,61,98,135,151.1811582,163.2246037,180.2680752,313,311,342,2.113774286,2.10481228,1.92452989
FBgn0030653,120.4107357,24.16664065,17.70575784,10,3,3,37.61490734,55.29817698,16.90240486,34,46,14,3.144141577,0.447024078,1.044874026
FBgn0030655,516.8150111,492.5784619,333.1283148,73,104,96,271.8969967,286.9631068,283.2307547,418,406,399,1.897474202,1.714033674,1.175552995
FBgn0030657,479.5428781,505.5296923,605.4251902,33,52,85,208.2830715,226.3215332,263.7225917,156,156,181,2.29613831,2.228252137,2.290795003
FBgn0030658,571.7433897,704.6045045,580.1447405,57,105,118,549.2732204,481.6805893,470.6817983,596,481,468,1.040834568,1.461845618,1.232069464
FBgn0030659,59.67296046,102.6554165,71.03240535,7,18,17,81.45706411,80.85202886,81.20044405,104,95,95,0.735812767,1.266375653,0.876301901
FBgn0030660,148.1184924,93.2631681,149.4708353,17,16,35,75.24958078,81.76660916,91.72863172,94,94,105,1.955663112,1.138903346,1.622700913
FBgn0030662,63.57576035,19.84852157,29.08415129,15,7,14,21.41799747,56.27813767,40.79686501,55,133,96,2.880532057,0.36398742,0.719770521
FBgn0030665,8.111819129,5.426853256,7.951998872,1,1,2,29.06690124,27.5349916,49.61389785,39,34,61,0.303051487,0.225227095,0.176868395
FBgn0030666,48.70904319,71.69058086,52.52430747,5,11,11,46.54347523,37.93079751,94.74724334,52,39,97,1.045549215,1.867174204,0.559016694
FBgn0030668,45.55098434,85.3268312,98.23777068,5,14,22,109.6515884,82.76694533,125.1421418,131,91,137,0.420698745,1.030559618,0.786713855
FBgn0030669,518.665295,537.2749008,434.6397285,31,48,53,261.3306125,315.7003566,340.5467877,170,189,203,1.980955596,1.699634654,1.275490633
FBgn0030670,270.9897543,429.7331935,477.1873221,27,64,97,247.1381381,227.4587965,208.3122007,268,227,207,1.096122331,1.885386775,2.284564973
FBgn0030671,66.49956538,59.31811795,59.7569327,6,8,11,57.02580871,47.57992847,46.67368614,56,43,42,1.163267981,1.241626323,1.274433291
FBgn0030672,979.5065051,1032.175197,845.779176,193,304,340,1746.761689,1554.001967,1632.957896,3746,3067,3209,0.561006979,0.664420508,0.518238063
FBgn0030673,102.9209081,330.5024374,448.9744962,10,48,89,90.78011156,81.1742853,127.9618615,96,79,124,1.132281345,4.034138371,3.489205963
FBgn0030674,155.9454855,109.6108707,50.312641,158,166,104,376.9741875,450.3184001,424.7473596,4157,4570,4292,0.415228052,0.245083894,0.120523686
FBgn0030675,66.94707255,74.64662218,38.28304168,6,10,7,54.3340502,54.58385358,22.37513121,53,49,20,1.227943234,1.360945982,1.680548499
FBgn0030676,80.48814709,251.2861372,144.6543225,3,14,11,4.930109214,13.3927096,5.380169091,2,5,2,13.74142434,17.52874505,22.82922607
FBgn0030678,340.2303345,136.5696204,111.1756887,30,18,20,183.3919696,159.6462283,113.7121921,176,141,100,1.850570474,0.856351387,0.97788811
FBgn0030680,255.3787141,313.6496623,242.8741541,67,123,130,492.0418999,453.2203765,429.1853646,1405,1191,1123,0.519993765,0.692724674,0.566904814
FBgn0030683,88.7523802,48.58023966,47.45660057,11,9,12,82.28604181,66.85797044,42.87641324,111,83,53,1.077640121,0.730647253,1.104388372
FBgn0030685,125.6943104,59.35779562,41.67662999,34,24,23,324.7210663,279.3961098,268.7385464,956,757,725,0.388965663,0.215259034,0.158214799
FBgn0030686,280.122063,98.16361112,241.9122167,21,11,37,106.6260064,81.2354572,84.26045993,87,61,63,2.612027263,1.205849818,2.849060595
FBgn0030687,3.751257534,20.07690146,5.516024557,1,8,3,17.92239702,29.96088519,34.60349478,52,80,92,0.251091737,0.680759007,0.183016431
FBgn0030692,1332.508776,1222.415671,1314.077381,167,229,336,833.5467086,706.5859529,679.2295186,1137,887,849,1.597883932,1.728999376,1.933284788
FBgn0030693,447.136685,360.1853579,514.3634713,49,59,115,717.6849794,792.5948535,762.1570631,856,870,833,0.623550927,0.45512563,0.675304595
FBgn0030699,255.3564475,170.8349196,353.9082918,29,29,82,211.1568656,133.6226839,224.2527622,261,152,254,1.208334441,1.276418763,1.575600176
FBgn0030700,69.96016161,148.2118657,74.29694586,6,19,13,89.99009476,71.00961554,63.13185756,84,61,54,0.779866883,2.072110295,1.174095819
FBgn0030701,100.6834971,105.0782206,96.72581965,25,39,49,155.411604,198.6245858,163.9455266,420,494,406,0.650102003,0.531388557,0.592473295
FBgn0030703,3033.701619,3077.556566,2525.137931,275,417,467,1466.643528,1251.14105,1487.708034,1447,1136,1345,2.067737541,2.458634007,1.696865922
FBgn0030706,2.144130131,2.868870569,2.101886162,1,2,2,0,1.926555045,0.859936505,0,9,4,3.144130131,1.321987972,1.667737664
FBgn0030710,283.3182778,271.3890282,135.7120553,44,63,43,725.9092807,680.1353644,601.0724909,1227,1058,931,0.391133096,0.399904398,0.227069094
FBgn0030711,309.6757971,267.6008792,234.0053582,24,31,37,411.3782881,265.3695057,372.6007843,347,206,288,0.753375738,1.008376986,0.629028011
FBgn0030716,30.15332267,47.91026894,7.389809363,8,19,4,47.09772894,57.19743437,77.09578059,136,152,204,0.647708808,0.840419676,0.107429739
FBgn0030717,421.9261741,328.0446949,318.5940456,37,43,57,339.4654842,297.141303,281.2710958,324,261,246,1.242199852,1.103653508,1.132223775
FBgn0030718,1067.311388,481.5601102,602.2210643,86,58,99,762.8421458,796.6938001,740.3974463,669,643,595,1.398602307,0.60494404,0.813627114
FBgn0030719,1351.085144,1426.820193,915.9620256,261,412,361,182.1616095,164.3452302,237.7184796,383,318,458,7.381924345,8.635387859,3.841185765
FBgn0030720,1505.02398,1797.981474,1469.172734,238,425,474,435.1752123,368.0635326,462.2205453,749,583,729,3.452795889,4.874449287,3.173807271
FBgn0030724,225.658927,201.2894787,94.80555493,21,28,18,526.2308472,411.957317,331.8479927,533,384,308,0.429904525,0.489855659,0.28783576
FBgn0030725,33.06193081,11.05931013,12.15395241,4,2,3,5.315965219,29.70697938,22.37624662,7,36,27,5.392988977,0.392722123,0.562705922
FBgn0030731,241.8914341,156.922908,197.6047111,33,32,55,166.348685,191.0006431,197.7033753,247,261,269,1.451409278,0.822512391,0.99950346
FBgn0030733,10905.75919,17391.66387,21117.62013,344,820,1359,0,0,0,0,0,0,10906.75919,17392.66387,21118.62013
FBgn0030734,342.0630939,235.1988872,237.5209657,36,37,51,49.76161237,85.37564561,62.87860656,57,90,66,6.758317513,2.734554231,3.733972586
FBgn0030735,98.98840776,117.1652011,29.85788417,26,46,16,284.3920198,257.7083304,244.312799,813,678,640,0.350354603,0.456750662,0.125789948
FBgn0030738,1269.90623,1296.524578,763.1694582,230,351,282,778.1889271,823.5352403,812.6903969,1534,1494,1468,1.631063002,1.573643569,0.939140318
FBgn0030739,4.660078218,12.47047561,18.27305868,1,4,8,45.38527184,54.89881703,40.65067051,106,118,87,0.122023177,0.240979619,0.462731054
FBgn0030740,9.206306663,30.79535829,67.68691988,1,5,15,137.8760748,52.38995984,59.07730369,163,57,64,0.073492188,0.595530665,1.143308965
FBgn0030743,302.994974,596.8546873,429.0365767,18,53,52,185.5923347,154.6103344,204.2224793,120,92,121,1.62919326,3.841998602,2.095465263
FBgn0030744,103.1595822,163.1248244,193.0608595,11,26,42,459.2614238,401.6631171,336.6318242,533,429,358,0.226305262,0.407598356,0.574770639
FBgn0030745,7.415276521,0,3.634589824,1,0,1,8.85699853,11.10468855,7.435027948,13,15,10,0.853736205,0.082612617,0.549445699
FBgn0030748,14.07517683,0,10.34839921,2,0,3,0,0,0.705633383,0,0,1,15.07517683,1,6.653480946
FBgn0030749,100.2856349,59.63703256,62.8090341,18,16,23,41.46361005,108.4647469,79.88357918,81,195,143,2.385233727,0.553941194,0.788899734
FBgn0030752,81.99177182,109.7059258,89.30706426,9,18,20,230.1846321,242.8436748,191.8237211,275,267,210,0.358984813,0.454003681,0.468340014
FBgn0030753,262.6201443,261.167313,375.7319467,37,55,108,230.8582733,259.3553253,250.509517,354,366,352,1.136988301,1.006959672,1.497883465
FBgn0030756,20.36923624,0,9.983959272,2,0,2,0,0,0,0,0,0,21.36923624,1,10.98395927
FBgn0030759,47.0148156,0,0,3,0,0,33.11747276,32.85644333,25.14135727,23,21,16,1.407337992,0.029536475,0.038253561
FBgn0030761,92.00660272,48.59442782,97.31444414,19,15,41,64.06838189,56.08040688,69.43152209,144,116,143,1.429367075,0.868852037,1.395886973
FBgn0030763,47.17086287,23.6681822,86.7028042,4,3,15,0,4.709356776,2.36482539,0,4,2,48.17086287,4.32065873,26.06459297
FBgn0030764,11.06107959,0,0,1,0,0,7.113960126,13.25154562,24.39919245,7,12,22,1.486460298,0.070167828,0.03937133
FBgn0030766,189.1938582,85.10860401,73.54699409,58,39,46,246.3580327,281.0461295,254.1296356,822,863,777,0.768901079,0.305299719,0.29219261
FBgn0030768,604.1498976,455.5041365,662.7524242,63,71,141,303.9758778,330.301864,362.4939491,345,345,377,1.984254958,1.377909955,1.826034315
FBgn0030786,443.0570563,273.6071052,467.7377178,26,24,56,209.8007216,241.5808065,273.3767316,134,142,160,2.106525314,1.132023218,1.7083727
FBgn0030788,1263.914173,1407.422005,1271.617938,152,253,312,504.9999382,340.3655726,472.7290699,661,410,567,2.499830687,4.125846653,2.68638346
FBgn0030789,80.53701664,87.55455053,113.4910052,8,13,23,98.97037094,93.47086722,125.1648809,107,93,124,0.815611825,0.937374168,0.907471273
FBgn0030790,632.6732521,622.79982,460.726114,140,206,208,740.318583,609.9804311,706.8565573,1783,1352,1560,0.854792078,1.020981669,0.652287683
FBgn0030791,531.15731,710.6945387,627.1976278,88,176,212,403.7269486,355.5332927,305.6237662,728,590,505,1.314855143,1.996151701,2.048757132
FBgn0030793,74.85579368,25.03947642,42.80556804,6,3,7,48.14368501,39.85767119,62.54598379,42,32,50,1.543551194,0.637321601,0.689352268
FBgn0030798,8.031919086,3.582266448,2.624557677,3,2,2,5.657724234,5.613130476,9.127088079,23,21,34,1.356607569,0.692904286,0.357907194
FBgn0030799,232.6189006,112.3946568,82.34626424,18,13,13,62.93094201,70.96152756,73.85886064,53,55,57,3.654238358,1.575767784,1.113378744
FBgn0030800,48.56636878,19.4947066,42.84855631,5,3,9,60.68626526,68.85123748,50.64356002,68,71,52,0.803523581,0.293405061,0.849061457
FBgn0030801,47.61107911,55.74114601,29.17064913,4,7,5,110.4549738,97.44277842,152.7612691,101,82,128,0.436149931,0.576387084,0.196217482
FBgn0030802,1808.392035,2507.106367,2082.462359,83,172,195,158.1457241,106.5855538,135.4445196,79,49,62,11.36940402,23.31266866,15.26966685
FBgn0030803,360.8709748,613.3493396,473.274907,37,94,99,978.5628775,896.8041959,863.5076447,1092,921,883,0.369420874,0.684279871,0.548606956
FBgn0030805,281.8225207,183.303627,88.25292044,36,35,23,141.6952494,104.7287127,105.9649451,197,134,135,1.982003759,1.743174794,0.834412811
FBgn0030806,306.3596998,434.7559708,541.4928325,33,70,119,226.0369502,328.1018885,303.4523814,265,354,326,1.353787124,1.324076178,1.78186431
FBgn0030807,456.9445201,764.2462243,1183.846005,14,35,74,317.875585,162.9270577,183.2646574,106,50,56,1.436122869,4.668211794,6.430131649
FBgn0030808,156.3168745,99.07283411,77.96273324,57,54,58,183.9372702,191.1059472,190.554626,730,698,693,0.850649922,0.520925227,0.412220445
FBgn0030809,789.7729292,664.3612491,400.849774,338,425,350,872.4792599,821.8375096,796.0936729,4064,3523,3398,0.905313916,0.808618034,0.504143726
FBgn0030812,728.6886452,880.2026623,263.6224921,252,455,186,662.6035831,623.5668012,566.8177969,2494,2160,1955,1.09958515,1.410902181,0.466034164
FBgn0030813,162.7626295,66.28033836,159.5558562,23,14,46,330.9485733,365.2625756,350.516983,509,517,494,0.49333735,0.183694275,0.456751349
FBgn0030816,68.14861611,45.59181281,70.14623913,10,10,21,9.39213161,10.20554196,12.98272615,15,15,19,6.653939607,4.157925869,5.08815222
FBgn0030833,110.0059919,121.8118112,55.77860568,29,48,30,205.6298812,173.0702083,156.3203144,590,457,411,0.53722139,0.705530328,0.360910833
FBgn0030834,650.2179726,683.5706925,622.2309183,42,66,82,193.4480949,143.7409135,111.7628403,136,93,72,3.349058128,4.729628107,5.526917526
FBgn0030838,473.5341568,702.4630267,518.0253305,69,153,154,428.1420299,448.0925683,361.9455311,679,654,526,1.105774135,1.566409859,1.430036427
FBgn0030839,51.93016023,19.85232762,101.8140491,7,4,28,38.17029523,53.32635404,33.47259562,56,72,45,1.351283158,0.383834476,2.982486443
FBgn0030847,5.773174896,34.76058235,14.14857738,1,9,5,6.895629774,39.76963251,21.41764388,13,69,37,0.857838461,0.877137716,0.675743511
FBgn0030850,52.67013437,66.94957848,90.35673432,10,19,35,118.5622357,136.7179529,127.2731296,245,260,241,0.448888682,0.493396664,0.712204766
FBgn0030851,368.4568511,563.4279648,457.9467795,28,64,71,280.4997376,264.0659684,257.2873719,232,201,195,1.312458954,2.129386764,1.776884313
FBgn0030853,311.6646297,583.8151609,358.9908964,20,56,47,300.6717922,197.5827454,218.7463486,210,127,140,1.036439726,2.944944484,1.63821105
FBgn0030854,468.3773531,758.300031,647.4005319,50,121,141,249.5972241,334.8086602,463.0501801,290,358,493,1.873034926,2.26110914,1.39726383
FBgn0030855,513.6402647,653.7318235,518.8716816,82,156,169,413.2239858,407.7374262,414.518959,718,652,660,1.242420242,1.601839669,1.251138294
FBgn0030858,122.0488206,90.72373001,117.4285635,27,30,53,237.1492747,254.979957,232.5104318,571,565,513,0.516687782,0.358323875,0.507166051
FBgn0030859,7.116119442,0,0,1,0,0,7.192034857,6.394012944,5.708059225,11,9,8,0.990733021,0.135244556,0.149074414
FBgn0030863,276.0307392,338.0329317,217.8497659,59,108,95,325.8295825,247.0864226,324.6136559,758,529,692,0.847630551,1.366592046,0.672114827
FBgn0030864,2321.076329,2207.695432,3690.017872,230,327,746,1472.407274,1206.996963,1241.541966,1588,1198,1227,1.575990815,1.828394855,2.970537796
FBgn0030868,31.22515687,292.4573122,367.3194507,1,14,24,8.606800831,9.352197213,0,3,3,0,3.354410843,28.34734561,368.3194507
FBgn0030869,70.97263031,52.0031034,31.47409582,21,23,19,189.7268018,175.1163662,145.711999,611,519,430,0.377359813,0.300955014,0.221345875
FBgn0030870,2673.741146,3639.371081,3160.935681,318,647,767,1823.140387,1715.777244,1590.813963,2360,2044,1887,1.466302246,2.120467926,1.986372626
FBgn0030871,365.7476096,380.6245902,743.6418292,27,42,112,67.20898884,125.7732993,108.6583169,54,93,80,5.37682226,3.010291539,6.79056409
FBgn0030872,55.74635356,26.63902031,19.51715381,7,5,5,34.38999813,58.04022103,55.09634255,47,73,69,1.603457376,0.468138835,0.365748512
FBgn0030873,379.5757363,467.4773843,507.4053807,44,81,120,307.5341591,242.0136487,279.3852947,388,281,323,1.233496276,1.927782192,1.813238391
FBgn0030874,253.3316776,177.9543538,229.7149621,20,21,37,266.5083713,275.679054,241.3061324,229,218,190,0.950742873,0.646794007,0.952163116
FBgn0030877,152.1152138,150.2259195,120.7147474,21,31,34,205.6495229,242.2623564,198.2765068,309,335,273,0.740941531,0.62165771,0.610783225
FBgn0030878,139.6936215,107.8336493,52.66975274,13,15,10,122.4251877,95.47969066,142.2205683,124,89,132,1.139910127,1.128047245,0.374734952
FBgn0030882,70.10806892,82.07972135,97.36295166,12,21,34,107.3575579,139.9863769,161.6780623,200,240,276,0.656235433,0.589274816,0.604647918
FBgn0030890,329.1226775,255.0923179,153.4499013,82,95,78,386.4747342,329.7855048,297.8042761,1048,823,740,0.851985041,0.774194498,0.516893209
FBgn0030891,399.2308996,425.6710992,317.9842198,64,102,104,487.1682412,510.053636,443.4510251,850,819,709,0.819862633,0.834885165,0.717703868
FBgn0030892,80.73308972,162.0326922,74.19606982,8,24,15,179.8784704,126.9462582,131.5407136,194,126,130,0.451867431,1.274227903,0.567343179
FBgn0030893,9.976268532,10.01127081,2.444928654,2,3,1,10.54100066,18.92385032,22.50639327,23,38,45,0.951067317,0.552667814,0.146552838
FBgn0030894,176.6143833,155.965959,90.03004432,25,33,26,567.3007563,507.1106408,519.9210187,874,719,734,0.312535891,0.308920826,0.174748265
FBgn0030900,108.1340759,156.7416791,256.1753724,6,13,29,0,44.98203551,46.98291139,0,25,26,109.1340759,3.43050666,5.359728389
FBgn0030904,8.374019344,5.602266695,12.31354977,1,1,3,10.00214581,15.88456527,11.75485429,13,19,14,0.85201737,0.39102379,1.043802577
FBgn0030915,805.6384127,843.2377284,917.1471552,62,97,144,410.6981889,411.2401516,385.6518697,344,317,296,1.95929551,2.047926979,2.374609376
FBgn0030930,320.943195,332.6536767,250.3665599,71,110,113,406.1856229,408.8705151,353.5246331,978,906,780,0.790654623,0.814046545,0.709024244
FBgn0030931,29.29427262,19.59803543,0,2,2,0,22.87797147,30.70858396,27.90368616,17,21,19,1.268712154,0.649604393,0.034597663
FBgn0030932,34.60049729,13.888758,3.391879319,5,3,1,192.6508077,100.8678966,82.56852991,303,146,119,0.18383862,0.146157509,0.052554225
FBgn0030938,18.2003933,60.88083456,107.0508388,1,5,12,6.688929735,1.817056978,10.94932327,4,1,6,2.497147713,21.96648312,9.042423275
FBgn0030941,12.78377664,42.76209736,6.265954393,2,10,2,42.87142388,45.94618399,54.47576761,73,72,85,0.31418576,0.932175816,0.130975284
FBgn0030943,955.804802,648.3199584,949.9869141,72,73,146,845.2512384,812.4281423,822.5843475,693,613,618,1.130639175,0.79825116,1.154692797
FBgn0030944,1106.488218,1099.154529,1298.338696,66,98,158,563.7672108,738.1238198,573.2083286,366,441,341,1.960964088,1.488457684,2.262834987
FBgn0030945,115.4433998,120.6754575,130.8515602,16,25,37,253.9006245,262.2033777,261.886403,383,364,362,0.456818809,0.462286839,0.501553366
FBgn0030946,219.2943306,127.5731806,93.46685276,46,40,40,317.5582854,285.0914333,227.0483952,725,599,475,0.691535398,0.4494129,0.414240375
FBgn0030955,95.35145349,205.547702,109.0516293,9,29,21,33.09631144,75.09844241,63.73695524,34,71,60,2.825861491,2.714217209,1.699981546
FBgn0030956,1629.816436,1624.739126,1249.690482,202,301,316,1217.981682,1297.689041,1073.528309,1643,1611,1327,1.337851471,1.251830943,1.163943724
FBgn0030959,1216.841396,960.4899901,810.9779293,139,164,189,1465.491883,1594.159538,1296.447472,1822,1824,1477,0.830445371,0.602754751,0.625827208
FBgn0030960,161.324351,161.8903662,131.7882624,18,27,30,669.4741872,571.7630061,659.5970978,813,639,734,0.242103804,0.284394007,0.201012482
FBgn0030963,79.82387077,129.6920887,44.71495377,7,17,8,148.7780826,103.6009907,98.33054569,142,91,86,0.539624152,1.249434521,0.460230571
FBgn0030964,119.1560065,39.85802392,32.12230374,20,10,11,198.7048366,167.1398609,115.2918232,363,281,193,0.601667984,0.243000224,0.284820573
FBgn0030966,7.839507471,15.73402561,23.05515701,1,3,6,62.66483499,71.22261962,55.0227222,87,91,70,0.138844426,0.231700618,0.429382152
FBgn0030969,577.1403774,268.3138704,364.3938976,59,41,76,811.5832352,824.2513494,753.2617625,903,844,768,0.711484501,0.32634163,0.484439111
FBgn0030970,89.97202179,25.79648385,81.89942404,14,6,26,104.5125826,111.6391356,110.8314833,177,174,172,0.862191215,0.237896746,0.741288782
FBgn0030973,253.5104474,215.261456,181.6076614,52,66,76,367.7490374,286.1920838,275.693722,821,588,564,0.690199625,0.753020254,0.659963154
FBgn0030974,1731.222991,1746.658958,719.2158247,433,653,367,907.3564638,817.4907357,962.9270177,2470,2048,2402,1.906985925,2.135221429,0.747168418
FBgn0030983,78.45690048,0,38.45556552,3,0,3,9.611380108,2.610944648,10.48878391,4,1,4,7.48789504,0.276935843,3.434268226
FBgn0030990,137.5504318,241.5578111,244.3982121,24,63,87,101.1038781,130.458787,136.7675062,192,228,238,1.356955625,1.845124367,1.781248852
FBgn0030991,89.52785259,137.757681,78.98756547,10,23,18,169.4498768,109.9388151,130.1611642,206,123,145,0.531111282,1.250758636,0.609841838
FBgn0030993,40.17905889,0,0,3,0,0,0,2.674214712,0,0,2,0,41.17905889,0.272167001,1
FBgn0030996,452.9740154,491.728852,372.833976,53,86,89,812.7437517,741.4894381,679.5569555,1035,869,793,0.557883258,0.663617321,0.549305937
FBgn0031001,418.7009672,445.3802023,383.7723011,100,159,187,450.8659575,448.5299613,477.7508635,1172,1073,1138,0.928817408,0.992993217,0.803700485
FBgn0031003,79.0626077,0,22.14425844,7,0,4,100.6608743,120.6548113,104.1876341,97,107,92,0.787545929,0.008219979,0.22002832
FBgn0031006,66.4304903,65.84055828,30.1489199,27,40,25,166.6046241,204.8601644,193.6549511,737,834,785,0.402318794,0.324689133,0.160021205
FBgn0031008,456.9045459,753.9903088,572.3199188,45,111,115,384.3492614,266.5977541,253.4939314,412,263,249,1.188284478,2.821362651,2.252784244
FBgn0031011,67.75256513,27.69974316,23.98416731,18,11,13,62.25032338,98.45602578,77.74558078,180,262,206,1.08699152,0.288567163,0.317277072
FBgn0031016,490.9312883,224.7192531,108.9164851,190,130,86,459.1339951,482.9039167,458.818506,1934,1872,1771,1.069104421,0.466454693,0.239043196
FBgn0031018,33.39488077,0,0,2,0,0,15.34142746,6.66803185,21.76449067,10,4,13,2.104765991,0.130411561,0.043928064
FBgn0031020,169.400172,199.0179766,93.15708223,41,72,46,178.7996922,239.24659,217.9069033,471,580,526,0.947722268,0.832552822,0.43012386
FBgn0031021,1101.0527,1054.364099,1735.440921,51,73,164,466.1456778,396.591613,322.5369338,235,184,149,2.359119975,2.654392257,5.367056244
FBgn0031022,179.2492789,169.8849522,161.0745429,12,17,22,79.60127687,90.96907505,76.3838601,58,61,51,2.236307983,1.858069706,2.094423084
FBgn0031023,30.55010128,34.06365329,25.95510552,15,25,26,61.00351573,76.6567704,81.27551347,326,377,398,0.508843747,0.45152088,0.327620022
FBgn0031030,583.6964819,552.0809405,338.7139654,261,369,309,936.1515338,716.9265213,836.1692767,4556,3211,3729,0.623908152,0.770386556,0.405788859
FBgn0031032,47.92068873,12.02220526,32.29637692,8,3,11,29.16921915,31.69543427,48.0483309,53,53,80,1.621543086,0.398288188,0.678848318
FBgn0031036,273.7571541,268.6128093,241.5271952,30,44,54,262.424531,243.2446274,303.7648799,313,267,332,1.043020379,1.103863827,0.795784591
FBgn0031037,805.0927259,1251.908101,1290.498799,74,172,242,633.7519525,458.3681224,467.979393,634,422,429,1.269933433,2.727459829,2.753849781
FBgn0031038,4.973172856,3.327081001,39.00152536,1,1,16,0,0,0,0,0,0,5.973172856,4.327081001,40.00152536
FBgn0031040,2427.1364,3912.6942,3626.307831,83,200,253,196.134874,67.14778634,140.7383915,73,23,48,12.31713269,57.42951327,25.59156904
FBgn0031041,9.452997891,25.29643798,4.633376766,1,4,1,0,0,0,0,0,0,10.45299789,26.29643798,5.633376766
FBgn0031043,739.2605612,1616.182575,1960.560257,56,183,303,1111.017382,1029.315037,929.1843304,916,781,702,0.665691538,1.569600091,2.108786606
FBgn0031044,35.15809648,18.81677363,10.33962194,5,4,3,271.3441789,235.1732543,171.3234761,420,335,243,0.132766181,0.083907781,0.065804278
FBgn0031045,18.48445741,0,0,1,0,0,56.04495391,42.44458735,44.48086285,33,23,24,0.341563207,0.023017827,0.02198727
FBgn0031047,803.2104367,933.9695826,885.8086494,84,146,189,1075.343821,1084.46655,1093.933585,1224,1136,1141,0.747168721,0.861352736,0.809920037
FBgn0031048,59.25154842,145.3452872,58.08416567,6,22,12,376.5411287,412.1093883,298.0370143,415,418,301,0.159589364,0.354253114,0.197581446
