"","RPFs.DC1_184t_bw_star_Aligned.sortedByCoord.out.bam","RPFs.DC2_184t_bw_star_Aligned.sortedByCoord.out.bam","RPFs.DC3_184t_bw_star_Aligned.sortedByCoord.out.bam","RPFsRawCounts.DC1_184t_bw_star_Aligned.sortedByCoord.out.bam","RPFsRawCounts.DC2_184t_bw_star_Aligned.sortedByCoord.out.bam","RPFsRawCounts.DC3_184t_bw_star_Aligned.sortedByCoord.out.bam","mRNA.DC4_184t_star_Aligned.sortedByCoord.out.bam","mRNA.DC5_184t_star_Aligned.sortedByCoord.out.bam","mRNA.DC6_184t_star_Aligned.sortedByCoord.out.bam","mRNARawCounts.DC4_184t_star_Aligned.sortedByCoord.out.bam","mRNARawCounts.DC5_184t_star_Aligned.sortedByCoord.out.bam","mRNARawCounts.DC6_184t_star_Aligned.sortedByCoord.out.bam","TE.DC1_184t_bw_star_Aligned.sortedByCoord.out.bam","TE.DC2_184t_bw_star_Aligned.sortedByCoord.out.bam","TE.DC3_184t_bw_star_Aligned.sortedByCoord.out.bam"
"FBgn0000100",1414.62954427534,5192.97952393165,4002.80535881877,179,692,465,10910.2357045373,11171.1191898514,11807.0240961991,9856,10288,10439,0.129740533758854,0.464905487998176,0.339074965142352
"FBgn0000108",8.22115673352686,4.68387181434421,5.37286594584539,5,3,3,8.2910430417743,7.6810019893337,5.88294504187689,36,34,25,0.992478098752398,0.654748359846934,0.925892318923354
"FBgn0000109",534.521735233164,536.840828763549,895.723234275708,52,55,80,115.184955350191,187.840702535662,172.123332798007,80,133,117,4.60921754988893,2.84811919009876,5.17967867059242
"FBgn0000114",386.613006403267,802.01580571306,726.309273499505,287,627,495,2564.80071418099,2424.23985432406,2740.90754317598,13593,13098,14217,0.151069022726885,0.331107788898212,0.265256673336642
"FBgn0000115",389.158885229029,323.33731407758,410.639282851397,32,28,31,686.476640835107,568.109336012943,727.520295182456,403,340,418,0.567523115774649,0.569903344671548,0.565034749990462
"FBgn0000116",299.518512728892,449.3674180909,329.508688790472,100,158,101,1278.74037717408,1211.53931888487,1320.28061259229,3048,2944,3080,0.234827718253679,0.371425001298174,0.25014269159829
"FBgn0000117",2903.53447935356,2625.64790588389,2825.84155778,986,939,881,1611.9381468302,2035.94828375188,1872.90600416411,3908,5032,4444,1.80077238861369,1.28950151893195,1.50852900385522
"FBgn0000119",362.381601376534,393.73188370121,392.821253308574,208,238,207,226.949640300604,245.838153570819,209.197564752522,930,1027,839,1.59413105849753,1.5991526349996,1.87357666951205
"FBgn0000139",211.311315825914,214.02884145653,255.742008443931,45,48,50,231.524337098523,232.912865994842,220.432660945941,352,361,328,0.913071373410496,0.919268978822533,1.15945862433821
"FBgn0000140",337.804709994976,476.429872654918,418.451707852153,204,303,232,980.882448871202,1043.15996266659,926.388302510517,4229,4585,3909,0.345056284878577,0.45723824866417,0.452293507171335
"FBgn0000146",459.488221079499,366.897078031671,322.285824571382,132,111,85,393.963110469886,305.138612577027,367.16375131138,808,638,737,1.1659018497491,1.20173366872859,0.878103353249349
"FBgn0000147",758.684001399064,499.233808811196,594.41772844032,114,79,82,647.865158463213,575.152162594461,721.966654593368,695,629,758,1.17078870931877,0.868232111736945,0.82357564440536
"FBgn0000150",16428.4132664253,16545.5592048086,18287.5235559382,1138,1207,1163,12079.8716755596,11601.4164170692,14654.6407355662,5974,5849,7093,1.35995263484696,1.42613043783412,1.24788290637855
"FBgn0000152",4.07577813049335,0,26.6368957921019,1,0,6,41.1042545519576,54.8798160867603,50.1650032683156,72,98,86,0.120552618363774,0.0178955492345819,0.540152331216918
"FBgn0000153",4.91575114099315,0,0,1,0,0,46.1326536337268,57.4096436743759,42.9152436597716,67,85,61,0.125512796011129,0.0171204605454338,0.0227711363222162
"FBgn0000158",334.377172935901,256.056473029797,323.094413031554,62,50,55,253.065815796523,240.085526360636,255.484634017705,335,324,331,1.32004052526492,1.06624597880368,1.26360167451272
"FBgn0000163",166.86492626427,193.25121618394,158.641837551144,173,211,151,214.542432895784,243.314321081474,203.473708336331,1588,1836,1474,0.778802224736111,0.79508730934836,0.780745059352841
"FBgn0000166",620.768652564297,467.634240421153,784.349445297795,150,119,174,1128.62123095537,1110.49548986398,1326.71731187938,1947,1953,2240,0.55042224378028,0.421624959070686,0.591503506259278
"FBgn0000173",531.847737467249,538.687455692957,772.409984962413,105,112,140,777.592953644725,794.767606845066,806.110657933548,1096,1142,1112,0.684372668636287,0.678197316717408,0.958245288127629
"FBgn0000180",48.0546185257344,60.8407688053706,94.2170421217889,15,20,27,100.516102062005,384.708112475575,157.72269037352,224,874,344,0.483220075725253,0.160330485165221,0.599895590842847
"FBgn0000181",1602.10243848694,1888.71627010587,1981.68626413643,236,293,268,4295.08847531102,3337.29541372702,4504.15746198871,4517,3578,4636,0.373153962656898,0.566072212283965,0.440092556334582
"FBgn0000182",1167.9206323128,1464.0641252372,1023.24362995812,506,668,407,0,0,0,0,0,0,1168.9206323128,1465.0641252372,1024.24362995812
"FBgn0000183",1613.01995992856,1346.7676286336,1440.91410872472,845,743,693,586.361449235431,456.098507899545,555.681374343242,2193,1739,2034,2.74791606093579,2.94852773601658,2.59019643045512
"FBgn0000212",2169.53080037977,1825.06001046591,1862.72664159883,1157,1025,912,843.629471576504,872.61705067234,715.726892875002,3212,3387,2667,2.56980234934079,2.09022936200772,2.60033027939398
"FBgn0000216",59.183056500115,18.7325525006009,21.488097326022,3,1,1,91.1871875144266,544.813963693129,152.462049843926,33,201,54,0.652835368154569,0.0361525241440966,0.146538491756711
"FBgn0000227",527.861501959605,538.089799492114,591.876290252264,68,73,70,242.470933700052,139.7199459717,132.205613789163,223,131,119,2.17217510904667,3.83094092148477,4.45083561711343
"FBgn0000228",949.286826435924,847.075963792569,747.801405187112,448,421,324,683.826080169858,573.828482800646,586.499665521894,2304,1971,1934,1.38763235506484,1.47535480437681,1.27455630893326
"FBgn0000229",109.215908030936,19.7536529837853,56.6485023659253,21,4,10,76.4891175564746,112.186938211581,72.1988365832134,105,157,97,1.42234047188122,0.183357314118617,0.787560363755094
"FBgn0000233",39.3477898930553,16.9831593904562,46.7552874333076,11,5,12,9.5197381937558,40.7926376651741,28.6686699294998,19,83,56,3.83543669527865,0.430294913054545,1.60962009914115
"FBgn0000239",1508.92735922244,1669.48163017551,1570.20340460395,448,522,428,1195.00371161737,1043.54913443709,1073.98289492586,2533,2255,2228,1.26247715166415,1.59923700580704,1.46160781908284
"FBgn0000244",19.7855379501851,14.6124896338999,28.7348163655896,9,7,12,26.7897309093303,16.008744005456,26.1141145437027,87,53,83,0.74795751056396,0.917909613366613,1.09665452351995
"FBgn0000246",403.198173179178,242.604011997132,273.942590330527,101,64,63,361.780544408125,268.214392145095,342.22825535455,647,489,599,1.11416717188797,0.904869944196151,0.801048824044263
"FBgn0000247",70.2065255113803,106.380421971816,94.3690195120603,47,75,58,246.054147361858,242.384897938916,218.912942323686,1176,1181,1024,0.288222344258341,0.441195911830018,0.433667152575715
"FBgn0000250",2617.46741296958,1870.82069450045,1998.13447012479,829,624,581,1738.93763752305,1747.39967961359,1582.01545783698,3932,4028,3501,1.50492026639369,1.07059084734798,1.26286478140674
"FBgn0000251",710.565132827839,620.433801109398,640.529245117469,174,160,144,1538.6883658548,1465.56084736735,1715.35735601169,2690,2612,2935,0.462148801412028,0.423735436702094,0.373773703285308
"FBgn0000253",1841.88424978334,1627.23095593142,1898.06596786531,1020,949,965,762.846652762037,654.753139583433,561.324298523028,3016,2639,2172,2.41263641480859,2.48299376342407,3.37717216355989
"FBgn0000256",26.9105863744112,76.6593686947669,108.087884434163,16,48,59,159.255199204488,148.128029234374,147.555537294936,676,641,613,0.174163375122681,0.520756353406341,0.734323919663693
"FBgn0000257",65.4922226896748,90.1734227704435,146.239743798812,20,29,41,206.86166760943,150.723363850621,158.404783929828,451,335,338,0.319886891384961,0.600918806810848,0.923684598221524
"FBgn0000259",90.1422095731812,213.114388693953,220.417783614165,49,122,110,362.036359278322,362.204921148193,346.744637422818,1405,1433,1317,0.251055320614063,0.589514007731716,0.636725228187907
"FBgn0000261",458.141593418853,670.048270277391,361.362303050153,87,134,63,244.147458890821,236.59428991498,256.996203251066,331,327,341,1.87292006001717,2.82434510744142,1.40452571969644
"FBgn0000273",186.987445584992,330.739983713667,267.57091391746,102,190,134,481.19998921203,446.325840517385,403.778096023336,1874,1772,1539,0.389853690980344,0.741607020354493,0.663501598915512
"FBgn0000283",3855.30350287774,2992.26890570279,2777.36536032467,1577,1289,1043,1173.84684808469,1171.60008025606,985.26121945192,3428,3488,2816,3.28238826121425,2.55267670205955,2.81706844548612
"FBgn0000286",24.3224303268143,94.6916419798627,15.8957141748928,10,41,6,421.765797197946,401.686718757387,451.828393850157,1238,1202,1298,0.0598970647451831,0.237632972537929,0.0373115166901033
"FBgn0000287",1.89579636669443,0,6.19490667130259,1,0,3,0,0.260476005705526,0,0,1,0,2.89579636669443,0.793351079650477,7.19490667130259
"FBgn0000289",311.23885033142,539.679696355497,467.458140834869,161,294,222,909.539732424801,990.724254023763,1005.41349071401,3359,3730,3634,0.342916227828869,0.545191563241269,0.465472835129145
"FBgn0000299",45.9640672380455,40.4124814692607,48.2114131733231,27,25,26,0.95380242832559,1.40340162295454,0.243638852894081,4,6,1,24.0372652614081,17.2307786903928,39.5705015638606
"FBgn0000307",1005.21304828025,1047.12719701565,944.400074553244,742,814,640,605.704555642256,579.627333401596,497.31715497044,3192,3114,2565,1.65848935684203,1.80516337540503,1.89718548744188
"FBgn0000308",1535.19169609341,1510.76043092612,1689.5588014535,385,399,389,1784.49974792497,1949.32325466195,1922.62574321504,3195,3558,3369,0.860370715749862,0.775133264351174,0.8788397677752
"FBgn0000316",1621.52225196334,1525.55776848022,1327.37374667001,326,323,245,613.100584615165,615.069028828064,652.779500123398,880,900,917,2.64211155731128,2.47790052258293,2.03183756361171
"FBgn0000317",507.463002376458,519.552555524501,460.107644202894,358,386,298,359.371537913133,317.651825814753,284.420719392895,1810,1631,1402,1.4109410674353,1.63360920400664,1.61553668978095
"FBgn0000318",2389.25415617503,1572.80185213146,1963.82002322008,163,113,123,745.289694601151,569.950603948016,813.951129748183,363,283,388,3.20285027847327,2.75645886220089,2.41096668437923
"FBgn0000319",1643.79428987104,1293.81823995495,1364.26527903248,941,780,717,924.407675808497,921.648043197312,882.769705008801,3778,3840,3531,1.77737264653012,1.40337179437127,1.54482018482279
"FBgn0000320",17.0652498959681,35.1095753642699,21.6860906347171,6,13,7,1.59354795951958,36.3429676383412,17.910426893238,4,93,44,6.96545819777878,0.966971230406315,1.19966041818068
"FBgn0000326",239.043061178338,216.176093933182,260.37421185067,42,40,42,138.713856140068,121.99091439446,118.924563504031,174,156,146,1.71810490247786,1.76578973335095,2.17948854024293
"FBgn0000330",94.6573049471963,39.3235769516561,141.768146056236,16,7,22,270.972769785106,307.2571439388,284.488875670189,327,378,336,0.351716478906244,0.130811492108231,0.500083044290555
"FBgn0000337",5.86320038325161,0,0,1,0,0,0.82125586181945,0.80558389250603,4.19562438014527,1,1,5,3.76838890522236,0.553837461748768,0.192469648849411
"FBgn0000339",284.132079486169,236.074536420433,106.386079147107,32,28,11,453.948830219744,447.726079952611,411.724926482073,365,367,324,0.626734394170105,0.52832796445767,0.260188014478383
"FBgn0000346",207.386734644394,180.783998735958,99.985432455776,61,56,27,162.862459827869,141.536940647391,147.916486083567,342,303,304,1.27171735895638,1.27534657268713,0.67813467206785
"FBgn0000351",69.7561423240026,198.712200423293,186.49850754742,11,33,27,313.551021998705,335.449026900623,401.147322910373,353,385,442,0.224943291789063,0.593588283678651,0.46624333140024
"FBgn0000352",583.919609866765,656.988333008689,696.028481095671,265,314,290,458.637689919805,447.766292853116,409.960862170819,1486,1479,1300,1.27256668174627,1.46621603156825,1.69609455609412
"FBgn0000355",40.7577813049335,77.4036344102501,110.987065800424,2,4,5,14.2723106083186,2.79999061667145,17.4994197447613,5,1,6,2.73421503634091,20.6325863191017,6.0535447784592
"FBgn0000370",70.5194156524887,93.1647600847883,183.681486345137,23,32,55,128.838562020755,117.112081971619,114.089604821479,300,278,260,0.550833392941121,0.797249176484885,1.60467564930478
"FBgn0000376",421.317569485121,461.61328550117,485.389908203349,156,180,165,789.498240008949,727.305848808069,768.796883009522,2087,1960,1989,0.534242264069228,0.635190952068109,0.63184187795332
"FBgn0000377",1219.63116376995,846.145862008276,1201.01140886523,271,198,245,170.833192971697,181.795274129598,175.83840187355,271,294,273,7.10358192535597,4.63439695605952,6.79723067009359
"FBgn0000382",93.7494316891422,162.062751500847,164.955352720787,78,142,126,366.333535504035,324.498454455576,354.006527807301,2176,1965,2058,0.257938419804585,0.500963212785707,0.467471270868765
"FBgn0000384",565.764896605296,749.952724134044,798.231505443791,149,208,193,988.718964670413,783.602294397201,899.915890926326,1859,1502,1656,0.572652355705879,0.957112577284764,0.887132210113441
"FBgn0000392",684.888797206625,946.581196818569,743.350436062295,281,409,280,0,0,0,0,0,0,685.888797206625,947.581196818569,744.350436062295
"FBgn0000394",209.595848089058,131.063996161048,66.8192953382,41,27,12,99.5307700824634,106.762428384335,114.865691140012,139,152,157,2.0948396984954,1.22551058045983,0.585326809609646
"FBgn0000395",14.5462629050872,18.416665151896,31.6886147676888,6,8,12,17.6582341460278,56.9603080751145,18.7363849658047,52,171,54,0.8332119097346,0.334999343459884,1.65626151011572
"FBgn0000404",20763.7438032777,17941.0235436211,18093.287129767,5775,5255,4620,5570.97324246992,5111.45049640638,5154.97495184163,11062,10347,10018,3.7266409761281,3.50947623966879,3.50938227954425
"FBgn0000405",10457.2401348073,8428.5051219015,8220.1457500424,3036,2577,2191,14537.8917501568,13848.7379681861,14701.8864265888,30133,29263,29824,0.719328564688881,0.608640043679144,0.559151823085243
"FBgn0000406",6.74060930380243,0,0,1,0,0,0,4.63068454587602,2.89409157628518,0,5,3,7.74060930380243,0.177598299434553,0.256799302330215
"FBgn0000411",35.7585304464068,40.7456951154468,54.5292500457281,10,12,14,103.679705103905,154.271373976811,118.7297371439,207,314,232,0.351152407335503,0.268856351600788,0.463788289946625
"FBgn0000412",10137.2766690224,7449.06886320647,5767.60222974918,1813,1403,947,2644.83328247313,2771.82661941904,2509.5243175794,3377,3608,3136,3.8317896808471,2.68681381339573,2.29776791619017
"FBgn0000414",181.145694688593,274.137871869636,258.96982020099,160,255,210,343.01119828659,349.065496878374,289.226520781471,2163,2244,1785,0.52947606239507,0.785961125341151,0.895747981614463
"FBgn0000416",5995.94111208706,4619.77567793386,4790.47490078305,2015,1635,1478,1902.68474240952,2142.75493998218,1867.00169752066,4565,5241,4384,3.15017554035584,2.15545890612491,2.5650270592059
"FBgn0000426",2786.71511149149,2048.62724049399,2570.28932897557,124,96,105,695.67581665344,395.236362850068,582.158605106324,221,128,181,4.00145238983979,5.17273888179098,4.40924528329092
"FBgn0000439",7.66347476160671,0,8.34732951985668,2,0,2,3.75696821781589,33.6939360078462,5.48387560457104,7,64,10,1.82121770945622,0.0288234808461584,1.44162690494354
"FBgn0000447",720.114128592431,893.664923099321,939.695517031719,101,132,121,324.569020117843,333.069535991284,372.447172386945,325,340,365,2.21493472668688,2.67807994058657,2.51895204084454
"FBgn0000449",10.6279784162232,20.1837325171032,28.940931082136,2,4,5,10.4205933656686,33.585710232378,17.49203602335,14,46,23,1.01815886827545,0.612499566288267,1.61912571683991
"FBgn0000451",33.6652082951736,7.99175455518821,0,12,3,0,0.392955892183057,0.770914283659874,0,1,2,0,24.8860775059043,5.07746458321254,1
"FBgn0000454",659.066121101185,910.284416090096,957.171041308323,132,192,176,973.504664975399,1106.53577798092,1167.61312316952,1392,1613,1634,0.6773350039508,0.82280359172812,0.819921514067514
"FBgn0000455",349.658310913032,383.100381739609,292.969445859655,65,75,50,247.142871138614,209.166905395582,264.838305311968,328,283,344,1.41313070693517,1.82759688551652,1.10582049308008
"FBgn0000459",6.46450796798299,3.0692078627409,24.6448027231617,2,1,7,2.26370186734958,37.3044638365281,13.8777350917032,5,84,30,2.28712923893531,0.106233254696034,1.72370341084127
"FBgn0000463",789.421388471029,626.869714449818,716.915883731313,397,332,331,472.654688052031,693.676720443413,484.646286157766,1697,2539,1703,1.66877138221041,0.903830078038384,1.47826906988452
"FBgn0000464",220.319524510634,147.504579988286,173.625988300151,217,153,157,6.96840008127929,7.67241310024366,5.95756744236938,49,55,41,27.7746501497327,17.1237899154174,25.0987129836118
"FBgn0000477",85.4652173128696,89.2694602878801,167.565162861553,10,11,18,3.59132245763066,70.4557899471886,33.0251671486028,3,60,27,18.8323120649404,1.26329105527482,4.95413180853323
"FBgn0000479",40.8909287652895,32.854671591895,56.1887404993337,65,55,82,105.475480861368,94.473459100358,76.1685766808031,1197,1093,846,0.393432632812729,0.354597727063688,0.741088445053054
"FBgn0000482",189.250975989611,157.635525629859,195.289484334692,57,50,54,143.237830350617,150.540463556885,158.233838929022,308,330,333,1.31900885868253,1.04681958802582,1.23271212736501
"FBgn0000489",16.9769147298939,16.1205401655123,11.0951159276387,5,5,3,23.7794887197803,25.1917628759731,14.5781319452476,50,54,30,0.725475611429535,0.653661238710195,0.776416323224721
"FBgn0000490",18.1158723003804,22.9360596785263,2.1924947789497,9,12,1,12.1235258312703,33.4640228764636,19.8773136628977,43,121,69,1.45661101644131,0.694523090479752,0.1529169332079
"FBgn0000499",498.186488260461,364.42850378103,474.309703846118,135,104,118,525.681718893102,444.158849087608,540.816572702607,1017,876,1024,0.947795357905291,0.820894618920882,0.877252058709186
"FBgn0000520",534.716846140899,597.345730089093,633.823737910216,102,120,111,352.459059178457,308.278687176184,378.88458126197,480,428,505,1.51564044612709,1.93464908801892,1.67109635195338
"FBgn0000524",186.433842907363,346.248820463041,334.468858692188,68,133,112,789.93958226099,872.806374946783,839.694814555093,2057,2317,2140,0.236976182645408,0.397397902349006,0.399037620887103
"FBgn0000533",247.429359984763,326.316893592656,284.481581887925,36,50,38,342.722387286069,342.792564396623,344.277494978522,356,363,350,0.722761650604981,0.952076709882067,0.826817808979075
"FBgn0000536",149.70358618486,131.382924951265,91.4138119225022,66,61,37,182.683725043801,154.26574626215,186.658586266026,575,495,575,0.820451491545713,0.852621573903042,0.492457146573062
"FBgn0000541",1212.90009834469,1332.78614497028,1104.34995506878,1164,1347,973,1451.65779735551,1315.00452882005,1127.56905340584,9946,9185,7561,0.835640782402115,1.01351181987662,0.979426072098119
"FBgn0000542",34.9837622867346,69.9973045105788,54.4365132259225,28,59,40,32.9010741213668,105.746312289625,43.4516842055188,188,616,243,1.0614342825219,0.665103112114528,1.2471183987004
"FBgn0000543",271.425741879838,284.86398802638,425.316133280574,57,63,82,254.790532302588,279.370207150242,289.638951651136,382,427,425,1.06503450079838,1.01959473844235,1.46682380616448
"FBgn0000546",115.156938471534,117.373565315825,156.503605569997,109,117,136,208.357919635675,196.978804350103,191.723224644722,1408,1357,1268,0.554824669034115,0.597910295015696,0.817252855022267
"FBgn0000547",945.786694039814,888.771420089212,946.559884451371,579,573,532,634.237048349369,747.593136689227,565.980260157315,2772,3331,2421,1.49044627749592,1.18859147443479,1.67123963749366
"FBgn0000557",23.7088750437207,26.2650698464751,21.5204589183805,6,7,5,2.21392769978436,15.20175628479,6.22077138893527,4,28,11,7.68806188309046,1.68284656102815,3.11884391643941
"FBgn0000559",8836.37634461075,10021.1554973405,9602.45130389333,2573,3073,2567,14543.6619797075,15293.3590892092,14826.6830524946,30234,32411,30166,0.607602731293482,0.655284437803708,0.647670392595669
"FBgn0000562",255.695272527628,328.879727933031,303.831701726079,110,149,120,544.06427369425,508.131630482613,496.353050700615,1671,1591,1492,0.470944959917919,0.647926210399329,0.612908076660366
"FBgn0000565",15.5024057400597,29.44082106446,25.3286582956655,2,4,3,136.799148504253,138.448575912964,127.573010140754,126,130,115,0.119756950018819,0.218294241193682,0.204775934442559
"FBgn0000566",624.879109857777,525.930986850431,680.640571322765,88,78,88,761.878729617809,721.973223283821,696.13867844589,766,740,685,0.820417565150012,0.728838869656962,0.977768975381378
"FBgn0000568",5.46174268100087,17.7813716695913,7.64887443290413,7,24,9,21.748535464925,29.4809806769826,17.196726141266,199,275,154,0.28405093114517,0.616166909740337,0.475298378717173
"FBgn0000575",158.784279778737,126.456157241734,206.428359085123,31,26,37,469.927493992296,653.085171068627,483.817534670925,655,928,660,0.339296986939885,0.194861713549474,0.427848302198718
"FBgn0000576",12.7059669322281,28.1517455658749,27.6795829962318,3,7,6,8.30535589071648,68.6664365517045,27.2766379193464,14,118,45,1.47291163209586,0.418447490768948,1.01425010561845
"FBgn0000577",26.3130017199651,28.5550657029218,12.2833106491157,7,8,3,11.0569512341666,70.7569262031711,26.3609036090646,21,137,49,2.26533235388449,0.411877532480142,0.485485086271603
"FBgn0000578",215.949149918115,311.685005228106,287.908669950434,125,190,153,333.936827961548,427.732558352198,313.016369804853,1380,1802,1266,0.64773154758312,0.729324141907691,0.920043340829582
"FBgn0000579",956.925396600568,1372.36352348674,1365.15882011431,339,512,444,3180.09575173178,2946.82067867587,3357.96199179687,8043,7598,8312,0.301130639050734,0.465891135584149,0.406720535525764
"FBgn0000581",305.860227557144,589.967588054738,484.587415378575,319,648,464,734.352496240405,784.626641525762,656.745154892047,5468,5956,4786,0.417296778247183,0.752224475110751,0.738260725703518
"FBgn0000588",110.864035415708,169.604354447929,127.465779208586,18,29,19,591.815095635314,583.060252621251,631.136153822698,686,689,716,0.188699707951642,0.292100607227183,0.203224856594135
"FBgn0000591",27.2955232406252,0,74.3281389950827,2,0,5,0,37.5031252948191,17.579065998476,0,20,9,28.2955232406252,0.0259719176649423,4.05446317921803
"FBgn0000611",902.670062637731,703.213893932311,740.877318102046,284,233,214,816.050263640201,943.279697754487,842.90373335993,1833,2160,1853,1.10601526350608,0.745768330725466,0.879101832087323
"FBgn0000615",213.730584183394,451.334945780436,396.11250049501,67,149,114,1827.05964801633,1882.92134952844,1975.92738893076,4089,4296,4328,0.117463663954512,0.240102882157824,0.20087358934806
"FBgn0000617",1008.4287349557,939.827491649367,640.742944821134,108,106,63,275.96096659305,305.333496339341,380.853697069593,211,238,285,3.64466064432426,3.07125241898837,1.6805990088507
"FBgn0000618",375.57120546395,475.501451943683,295.450658263953,18,24,13,169.508516051879,186.341323843095,188.127459780907,58,65,63,2.20851846103319,2.543493566549,1.56746491814236
"FBgn0000629",149.649114472336,344.032288776515,154.424030014249,38,92,36,273.048313833067,344.130929300024,320.133224749066,495,636,568,0.549717355911562,0.999714193904008,0.483986140442795
